experiment_id,observation_id,attempt_id,phase,parent_observation_id,is_replacement,requested_output_tokens,api_max_output_tokens,actual_output_tokens,reasoning_tokens,actual_input_tokens,cached_input_tokens,total_tokens,randomized_launch_position,local_create_started_at,local_create_finished_at,local_create_duration_ms,batch_id,input_file_id,output_file_id,error_file_id,created_at,in_progress_at,finalizing_at,completed_at,failed_at,expired_at,cancelled_at,expires_at,created_at_iso,in_progress_at_iso,completed_at_iso,status,creation_state,turnaround_seconds,queue_seconds,active_seconds,finalizing_seconds,server_created_at_offset_seconds,local_terminal_seen_at,response_status,finish_or_incomplete_reason,early_stop,http_status,openai_request_id,error_type,error_code,error_message,create_error_type,create_error_message,output_text_chars,output_word_count,parse_error,estimated_cost_usd,valid_observation
batch-turnaround-gpt-5.6-luna-2026-09-10,pilot-t00001-k0001,1,pilot,,False,1,1,,,,,,,2026-09-10T07:10:30.011201+00:00,2026-09-10T07:10:30.468053+00:00,456.852,batch_6aa257e65ea48190b2d1497b3d11d7c2,file-CZx8ewFNqSEVY4VvSc9muK,,file-Rojrv2SphVKTUeUo4MiHsR,1789024230,1789024232,1789043595.0,1789043596.0,,,,1789110630,2026-09-10T07:10:30+00:00,2026-09-10T07:10:32+00:00,2026-09-10T12:33:16+00:00,completed,created,19366.0,2.0,19364.0,1.0,-11549.08738899231,2026-09-10T12:33:21.376236+00:00,,,,400,657798ee-6382-4c2c-a586-66c05234c4a0,invalid_request_error,integer_below_min_value,"Invalid 'max_output_tokens': integer below minimum value. Expected a value >= 16, but got 1 instead.",,,,,,,False
batch-turnaround-gpt-5.6-luna-2026-09-10,pilot-t00010-k0000,1,pilot,,False,10,10,,,,,,,2026-09-10T07:10:28.200012+00:00,2026-09-10T07:10:30.009129+00:00,1809.117,batch_6aa257e4e668819090632a184305fdc6,file-569y65tCvNAnHFgp6zPMTY,,file-5iBbhhCrUBf5AjjdzHDTfd,1789024228,1789024290,1789052596.0,1789052596.0,,,,1789110628,2026-09-10T07:10:28+00:00,2026-09-10T07:11:30+00:00,2026-09-10T15:03:16+00:00,completed,created,28368.0,62.0,28306.0,0.0,-11551.08738899231,2026-09-10T15:08:33.468002+00:00,,,,400,3e4ff22b-589d-4b15-b171-b2e4e039f74f,invalid_request_error,integer_below_min_value,"Invalid 'max_output_tokens': integer below minimum value. Expected a value >= 16, but got 10 instead.",,,,,,,False
batch-turnaround-gpt-5.6-luna-2026-09-10,pilot-t00010-k0001,1,pilot,,False,10,10,,,,,,,2026-09-10T07:10:30.013134+00:00,2026-09-10T07:10:30.618897+00:00,605.763,batch_6aa257e691808190add099e86e77d618,file-569y65tCvNAnHFgp6zPMTY,,file-Sfd6ZVbYYamP4kzJB9Drb4,1789024230,1789024232,1789052567.0,1789052568.0,,,,1789110630,2026-09-10T07:10:30+00:00,2026-09-10T07:10:32+00:00,2026-09-10T15:02:48+00:00,completed,created,28338.0,2.0,28336.0,1.0,-11549.08738899231,2026-09-10T15:08:33.468002+00:00,,,,400,7e9db05a-9239-449b-9e93-415cd343b67d,invalid_request_error,integer_below_min_value,"Invalid 'max_output_tokens': integer below minimum value. Expected a value >= 16, but got 10 instead.",,,,,,,False
batch-turnaround-gpt-5.6-luna-2026-09-10,pilot-t00016-k0001,1,pilot,,False,16,16,16.0,16.0,45.0,0.0,61.0,,2026-09-10T07:10:30.014814+00:00,2026-09-10T07:10:31.412758+00:00,1397.944,batch_6aa257e7594c8190acc9e8f62a2a5659,file-YLhrenST2sPgqk9wxVBmNx,file-SDzj6GpovdYoKeWXZrYhFJ,,1789024231,1789024234,1789024287.0,1789024288.0,,,,1789110631,2026-09-10T07:10:31+00:00,2026-09-10T07:10:34+00:00,2026-09-10T07:11:28+00:00,completed,created,57.0,3.0,54.0,1.0,-11548.08738899231,2026-09-10T07:11:34.611646+00:00,incomplete,max_output_tokens,False,200,5a81d854-b035-41ac-b236-1db41daa75fe,,,,,,0.0,0.0,,1.41e-05,True
batch-turnaround-gpt-5.6-luna-2026-09-10,pilot-t00016-k0002,1,pilot,,False,16,16,16.0,16.0,45.0,0.0,61.0,,2026-09-10T07:10:30.850050+00:00,2026-09-10T07:10:31.068748+00:00,218.698,batch_6aa257e703e08190ba6053218473709b,file-YLhrenST2sPgqk9wxVBmNx,file-RPcr4sffJfqGUn2H6Ve3w8,,1789024231,1789024232,1789052567.0,1789052568.0,,,,1789110631,2026-09-10T07:10:31+00:00,2026-09-10T07:10:32+00:00,2026-09-10T15:02:48+00:00,completed,created,28337.0,1.0,28336.0,1.0,-11548.08738899231,2026-09-10T15:08:33.468002+00:00,incomplete,max_output_tokens,False,200,cafc073d-eb8d-4757-8064-d74acd1e7188,,,,,,0.0,0.0,,1.41e-05,True
batch-turnaround-gpt-5.6-luna-2026-09-10,pilot-t00100-k0001,1,pilot,,False,100,100,100.0,54.0,45.0,0.0,145.0,,2026-09-10T07:10:30.016422+00:00,2026-09-10T07:10:31.370175+00:00,1353.753,batch_6aa257e752dc81908fcc7726269c5bd9,file-3hp7s6u7LZ2vUqQDQgaUhk,file-DRctM9UHt2kEqRWCZupG2K,,1789024231,1789024232,1789043761.0,1789043762.0,,,,1789110631,2026-09-10T07:10:31+00:00,2026-09-10T07:10:32+00:00,2026-09-10T12:36:02+00:00,completed,created,19531.0,1.0,19530.0,1.0,-11548.08738899231,2026-09-10T12:36:02.396565+00:00,incomplete,max_output_tokens,False,200,a13735c9-323a-9cfd-a245-c61952299715,,,,,,253.0,35.0,,6.45e-05,True
batch-turnaround-gpt-5.6-luna-2026-09-10,pilot-t01000-k0001,1,pilot,,False,1000,1000,1000.0,35.0,45.0,0.0,1045.0,,2026-09-10T07:10:30.017784+00:00,2026-09-10T07:10:31.545004+00:00,1527.22,batch_6aa257e7800c8190af416a3a2e9d7599,file-URyujANMbdu1xdjE7zk3Zv,file-V87HdqENREhH8s4VH1P6ii,,1789024231,1789024232,1789043595.0,1789043596.0,,,,1789110631,2026-09-10T07:10:31+00:00,2026-09-10T07:10:32+00:00,2026-09-10T12:33:16+00:00,completed,created,19365.0,1.0,19364.0,1.0,-11548.08738899231,2026-09-10T12:33:21.376236+00:00,incomplete,max_output_tokens,False,200,baa1bcd5-c867-4b24-95d5-13d5418ed17b,,,,,,5842.0,771.0,,0.0006045,True
batch-turnaround-gpt-5.6-luna-2026-09-10,pilot-t03000-k0001,1,pilot,,False,3000,3000,132.0,32.0,45.0,0.0,177.0,,2026-09-10T07:10:30.469722+00:00,2026-09-10T07:10:31.409034+00:00,939.312,batch_6aa257e754d88190a3622657f1aa969b,file-GBThWoKtoCWSdsqY4xy39C,file-ELbPPxWzWbvQF9FTF2sH5e,,1789024231,1789024234,1789024252.0,1789024253.0,,,,1789110631,2026-09-10T07:10:31+00:00,2026-09-10T07:10:34+00:00,2026-09-10T07:10:53+00:00,completed,created,22.0,3.0,19.0,1.0,-11548.08738899231,2026-09-10T07:10:59.575200+00:00,completed,completed,True,200,ca496c9f-c960-4e33-857b-2ba63fac1517,,,,,,539.0,73.0,,8.37e-05,True
batch-turnaround-gpt-5.6-luna-2026-09-10,pilot-t10000-k0001,1,pilot,,False,10000,10000,10000.0,85.0,45.0,0.0,10045.0,,2026-09-10T07:10:30.620837+00:00,2026-09-10T07:10:30.849034+00:00,228.197,batch_6aa257e6c9248190969d5e2a2f595ace,file-8EjySxx6hhhcV1nVJuHAbT,file-9GWKVtKMdP1pS8brW858bt,,1789024230,1789024232,1789043682.0,1789043683.0,,,,1789110630,2026-09-10T07:10:30+00:00,2026-09-10T07:10:32+00:00,2026-09-10T12:34:43+00:00,completed,created,19453.0,2.0,19451.0,1.0,-11549.08738899231,2026-09-10T12:34:52.113796+00:00,incomplete,max_output_tokens,False,200,0d5952a8-4496-4284-a95c-54a6d5d66392,,,,,,66805.0,8584.0,,0.0060045,True
batch-turnaround-gpt-5.6-luna-2026-09-10,prod-t10000-k0376,1,prod,,False,10000,10000,,,,,,0.0,2026-09-10T10:22:59.105116+00:00,2026-09-10T10:23:00.841228+00:00,1736.112,batch_6aa2850430b48190b57b11b20f6d6acb,file-8EjySxx6hhhcV1nVJuHAbT,,,1789035780,1789035841,,,,,,1789122180,2026-09-10T10:23:00+00:00,2026-09-10T10:24:01+00:00,,in_progress,created,,61.0,,,0.9126110076904297,,,,,200,,,,,,,,,,,False
